Na1    Na    0.29474   0.07838   0.02060   0.00000  Uiso   1.00
Na2    Na    0.86259   0.98246   0.85059   0.00000  Uiso   1.00
Na3    Na    0.63952   0.16955   0.72806   0.00000  Uiso   1.00
Na4    Na    0.32091   0.78931   0.03323   0.00000  Uiso   1.00
Na5    Na    0.60439   0.54668   0.21350   0.00000  Uiso   1.00
Na6    Na    0.36847   0.44964   0.93526   0.00000  Uiso   1.00
Na7    Na    0.36287   0.52528   0.91937   0.00000  Uiso   1.00
Na8    Na    0.62068   0.44784   0.27237   0.00000  Uiso   1.00
Na9    Na    0.37656   0.47369   0.73303   0.00000  Uiso   1.00
Na10   Na    0.63724   0.49939   0.36162   0.00000  Uiso   1.00
Na11   Na    0.94297   0.48314   0.73547   0.00000  Uiso   1.00
Na12   Na    0.37910   0.55156   0.54876   0.00000  Uiso   1.00
Na13   Na    0.54826   0.97252   0.34392   0.00000  Uiso   1.00
Na14   Na    0.11507   0.08386   0.44130   0.00000  Uiso   1.00
Na15   Na    0.41186   0.95815   0.38370   0.00000  Uiso   1.00
Na16   Na    0.55528   0.02101   0.40984   0.00000  Uiso   1.00
Na17   Na    0.18690   0.03927   0.82577   0.00000  Uiso   1.00
Na18   Na    0.91183   0.89679   0.20141   0.00000  Uiso   1.00
Na19   Na    0.93287   0.09421   0.33616   0.00000  Uiso   1.00
Na20   Na    0.07837   0.86869   0.81622   0.00000  Uiso   1.00
Na21   Na    0.67612   0.54935   0.86132   0.00000  Uiso   1.00
Na22   Na    0.38609   0.44884   0.38191   0.00000  Uiso   1.00
Na23   Na    0.35968   0.56867   0.14143   0.00000  Uiso   1.00
Na24   Na    0.59565   0.42560   0.73099   0.00000  Uiso   1.00
Na25   Na    0.07174   0.43575   0.61638   0.00000  Uiso   1.00
Na26   Na    0.93858   0.55761   0.48737   0.00000  Uiso   1.00
Na27   Na    0.92793   0.42934   0.43431   0.00000  Uiso   1.00
Na28   Na    0.08877   0.57673   0.20520   0.00000  Uiso   1.00
Na29   Na    0.43393   0.69101   0.21053   0.00000  Uiso   1.00
Na30   Na    0.39642   0.09904   0.26494   0.00000  Uiso   1.00
Na31   Na    0.56128   0.89391   0.86942   0.00000  Uiso   1.00
Na32   Na    0.49575   0.10042   0.08358   0.00000  Uiso   1.00
Na33   Na    0.86420   0.14675   0.66800   0.00000  Uiso   1.00
Na34   Na    0.13683   0.69125   0.06736   0.00000  Uiso   1.00
Na35   Na    0.46885   0.57998   0.77247   0.00000  Uiso   1.00
Na36   Na    0.58945   0.37416   0.83870   0.00000  Uiso   1.00

