O   0.083000  0.162500  0.065100
O   0.917000  0.837500  0.934900
O   0.917000  0.162500  0.934900
O   0.083000  0.837500  0.065100
O   0.583000  0.662500  0.065100
O   0.417000  0.337500  0.934900
O   0.417000  0.662500  0.934900
O   0.583000  0.337500  0.065100
O   0.235400  0.103900  0.262600
O   0.764600  0.896100  0.737400
O   0.764600  0.103900  0.737400
O   0.235400  0.896100  0.262600
O   0.735400  0.603900  0.262600
O   0.264600  0.396100  0.737400
O   0.264600  0.603900  0.737400
O   0.735400  0.396100  0.262600
O   0.187500  0.157200  0.896800
O   0.812500  0.842800  0.103200
O   0.812500  0.157200  0.103200
O   0.187500  0.842800  0.896800
O   0.687500  0.657200  0.896800
O   0.312500  0.342800  0.103200
O   0.312500  0.657200  0.103200
O   0.687500  0.342800  0.896800
O   0.217600  0.250700  0.197400
O   0.782400  0.749300  0.802600
O   0.782400  0.250700  0.802600
O   0.217600  0.749300  0.197400
O   0.717600  0.750700  0.197400
O   0.282400  0.249300  0.802600
O   0.282400  0.750700  0.802600
O   0.717600  0.249300  0.197400
O   0.124500  0.366500  0.411300
O   0.875500  0.633500  0.588700
O   0.875500  0.366500  0.588700
O   0.124500  0.633500  0.411300
O   0.624500  0.866500  0.411300
O   0.375500  0.133500  0.588700
O   0.375500  0.866500  0.588700
O   0.624500  0.133500  0.411300
O   0.196900  0.500000  0.456000
O   0.803100  0.500000  0.544000
O   0.696900  0.000000  0.456000
O   0.303100  0.000000  0.544000
O   0.269700  0.379900  0.389800
O   0.730300  0.620100  0.610200
O   0.730300  0.379900  0.610200
O   0.269700  0.620100  0.389800
O   0.769700  0.879900  0.389800
O   0.230300  0.120100  0.610200
O   0.230300  0.879900  0.610200
O   0.769700  0.120100  0.389800
O   0.121200  0.230300  0.552100
O   0.878800  0.769700  0.447900
O   0.878800  0.230300  0.447900
O   0.121200  0.769700  0.552100
O   0.621200  0.730300  0.552100
O   0.378800  0.269700  0.447900
O   0.378800  0.730300  0.447900
O   0.621200  0.269700  0.552100
O   0.000000  0.328000  0.500000
O   0.000000  0.672000  0.500000
O   0.500000  0.828000  0.500000
O   0.500000  0.172000  0.500000
O   0.009900  0.267800  0.186600
O   0.990100  0.732200  0.813400
O   0.990100  0.267800  0.813400
O   0.009900  0.732200  0.186600
O   0.509900  0.767800  0.186600
O   0.490100  0.232200  0.813400
O   0.490100  0.767800  0.813400
O   0.509900  0.232200  0.186600
Si  0.180900  0.168600  0.105400
Si  0.819100  0.831400  0.894600
Si  0.819100  0.168600  0.894600
Si  0.180900  0.831400  0.105400
Si  0.680900  0.668600  0.105400
Si  0.319100  0.331400  0.894600
Si  0.319100  0.668600  0.894600
Si  0.680900  0.331400  0.105400
Si  0.214000  0.410700  0.498800
Si  0.786000  0.589300  0.501200
Si  0.786000  0.410700  0.501200
Si  0.214000  0.589300  0.498800
Si  0.714000  0.910700  0.498800
Si  0.286000  0.089300  0.501200
Si  0.286000  0.910700  0.501200
Si  0.714000  0.089300  0.498800
Si  0.205300  0.189300  0.715500
Si  0.794700  0.810700  0.284500
Si  0.794700  0.189300  0.284500
Si  0.205300  0.810700  0.715500
Si  0.705300  0.689300  0.715500
Si  0.294700  0.310700  0.284500
Si  0.294700  0.689300  0.284500
Si  0.705300  0.310700  0.715500
Si  0.064100  0.298100  0.412800
Si  0.935900  0.701900  0.587200
Si  0.935900  0.298100  0.587200
Si  0.064100  0.701900  0.412800
Si  0.564100  0.798100  0.412800
Si  0.435900  0.201900  0.587200
Si  0.435900  0.798100  0.587200
Si  0.564100  0.201900  0.412800
Si  0.000000  0.215100  0.000000
Si  0.000000  0.784900  0.000000
Si  0.500000  0.715100  0.000000
Si  0.500000  0.284900  0.000000
EOF
